序号,发射地省份,地市,区县,发射台名,频道,发射功率(千瓦),节目
1,北京市,市辖区,海淀区,中央广播电视发射台,DS-32,1,中一等8套节目
2,北京市,市辖区,海淀区,中央广播电视发射台,DS-33,3,中七等4套节目
3,北京市,市辖区,海淀区,中央广播电视发射台,DS-27,10,北京广播电视台综合频道（高清）、科教频道、财经频道、青年频道、卡酷少儿频道
4,北京市,市辖区,海淀区,中央广播电视发射台,DS-14,1,北京广播电视台纪实频道（高清）、新闻频道（高清）
5,北京市,市辖区,海淀区,中央广播电视发射台,DS-22,1,标准测试码流数据
6,北京市,市辖区,朝阳区,总局491台,DS-22,1,标准测试码流数据
7,北京市,市辖区,朝阳区,京广中心,DS-22,1,标准测试码流数据
8,北京市,市辖区,朝阳区,名人广场,DS-22,1,标准测试码流数据
9,北京市,市辖区,房山区,房山转播站,DS-36,0.3,中七等4套节目
10,北京市,市辖区,房山区,房山转播站,DS-32,0.3,中一等8套节目
11,北京市,市辖区,怀柔区,怀柔转播站,DS-19,0.3,中七等4套节目
12,北京市,市辖区,怀柔区,怀柔转播站,DS-32,0.3,中一等8套节目
13,北京市,市辖县,密云县,密云转播站,DS-28,0.3,中七等4套节目
14,北京市,市辖县,密云县,密云转播站,DS-32,0.3,中一等8套节目
15,北京市,市辖县,密云县,密云电视发射台,DS-28,0.3,中七等4套节目
16,北京市,市辖县,密云县,密云电视发射台,DS-32,0.3,中一等8套节目
17,北京市,市辖县,平谷区,平谷转播站,DS-40,0.3,中七等4套节目
18,北京市,市辖县,平谷区,平谷转播站,DS-32,0.3,中一等8套节目
19,北京市,市辖县,延庆县,延庆转播站,DS-28,0.3,中七等4套节目
20,北京市,市辖县,延庆县,延庆转播站,DS-32,0.3,中一等8套节目
21,天津市,市辖区,宝坻区,宝坻电视发射台,DS-46,1,中一等8套节目
22,天津市,市辖区,宝坻区,宝坻电视发射台,DS-18,1,中七等4套节目
23,天津市,市辖区,南开区,天津广播电视塔,DS-45,1,中一等8套节目
24,天津市,市辖区,南开区,天津广播电视塔,DS-33,1,中七等4套节目
25,天津市,市辖县,蓟县,蓟县电视发射台,DS-46,1,中一等8套节目
26,天津市,市辖县,蓟县,蓟县电视发射台,DS-18,1,中七等4套节目
27,河北省,保定市,安国市,安国市电视发射台,DS-26,1,中七等4套节目
28,河北省,保定市,安国市,安国市电视发射台,DS-42,1,中一等8套节目
29,河北省,保定市,安新县,安新电视发射台,DS-34,0.3,中七等4套节目
30,河北省,保定市,安新县,安新电视发射台,DS-42,0.3,中一等8套节目
31,河北省,保定市,博野县,博野县电视转播台,DS-31,0.1,河北广播电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，保定市电视台新闻综合频道节目，博野县广播电视台电视节目
32,河北省,保定市,定州市,定州电视台,DS-23,1,中七等4套节目
33,河北省,保定市,定州市,定州电视台,DS-42,1,中一等8套节目
34,河北省,保定市,阜平县,阜平县电视转播台,DS-40,0.3,中七等4套节目
35,河北省,保定市,阜平县,阜平县电视转播台,DS-42,1,中一等8套节目
36,河北省,保定市,高碑店市,高碑店市电视转播台,DS-29,1,中七等4套节目
37,河北省,保定市,高碑店市,高碑店市电视转播台,DS-42,1,中一等8套节目
38,河北省,保定市,涞水县,涞水电视转播台,DS-41,0.3,中七等4套节目
39,河北省,保定市,涞水县,涞水电视转播台,DS-42,1,中一等8套节目
40,河北省,保定市,涞源县,涞源县电视转播台,DS-14,1,中七等4套节目
41,河北省,保定市,涞源县,涞源县电视转播台,DS-42,1,中一等8套节目
42,河北省,保定市,蠡县,蠡县电视发射台,DS-13,0.1,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，保定市电视台新闻综合频道节目，蠡县广播电视台电视节目
43,河北省,保定市,满城区,满城县电视发射台,DS-39,0.1,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，保定市电视台新闻综合频道节目，满城区广播电视台电视节目
44,河北省,保定市,曲阳县,曲阳县电视转播台,DS-14,0.3,中七等4套节目
45,河北省,保定市,曲阳县,曲阳县电视转播台,DS-42,1,中一等8套节目
46,河北省,保定市,顺平县,顺平县电视转播台,DS-35,0.3,中七等4套节目
47,河北省,保定市,顺平县,顺平县电视转播台,DS-42,1,中一等8套节目
48,河北省,保定市,唐县,唐县电视转播台,DS-18,0.3,中七等4套节目
49,河北省,保定市,唐县,唐县电视转播台,DS-42,1,中一等8套节目
50,河北省,保定市,雄县,雄县电视转播台,DS-35,0.3,中七等4套节目
51,河北省,保定市,雄县,雄县电视转播台,DS-42,1,中一等8套节目
52,河北省,保定市,易县,易县广播电视台,DS-30,1,中七等4套节目
53,河北省,保定市,易县,易县广播电视台,DS-42,1,中一等8套节目
54,河北省,保定市,涿州市,涿州市电视发射台,DS-45,1,中七等4套节目
55,河北省,保定市,涿州市,涿州市电视发射台,DS-42,1,中一等8套节目
56,河北省,保定市,保定市,河北省广播电视局八三四发射台,DS-21,1,中七等4套节目
57,河北省,保定市,保定市,河北省广播电视局八三四发射台,DS-42,1,中一等8套节目
58,河北省,沧州市,泊头市,泊头市电视转播台,DS-14,0.3,中七等4套节目
59,河北省,沧州市,泊头市,泊头市电视转播台,DS-48,1,中一等8套节目
60,河北省,沧州市,沧县,沧县电视发射台,DS-41,0.3,中七等4套节目
61,河北省,沧州市,沧县,沧县电视发射台,DS-48,1,中一等8套节目
62,河北省,沧州市,东光县,东光县电视转播台,DS-48,1,中一等8套节目
63,河北省,沧州市,东光县,东光县电视转播台,DS-33,0.3,中七等4套节目
64,河北省,沧州市,海兴县,海兴县电视台,DS-20,0.3,中七等4套节目
65,河北省,沧州市,海兴县,海兴县电视台,DS-48,0.3,中一等8套节目
66,河北省,沧州市,河间市,河间市电视转播台,DS-15,0.3,中七等4套节目
67,河北省,沧州市,河间市,河间市电视转播台,DS-48,1,中一等8套节目
68,河北省,沧州市,黄骅市,黄骅电视发射台,DS-22,1,中七等4套节目
69,河北省,沧州市,黄骅市,黄骅电视发射台,DS-48,1,中一等8套节目
70,河北省,沧州市,孟村回族自治县,孟村电视发射台,DS-32,0.3,河北广播电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，沧州市电视台新闻综合频道节目，孟村回族自治县广播电视台电视节目
71,河北省,沧州市,南皮县,南皮县电视转播台,DS-48,1,中一等8套节目
72,河北省,沧州市,南皮县,南皮县电视转播台,DS-36,0.3,中七等4套节目
73,河北省,沧州市,南皮县,南皮电视转播台,DS-36,0.1,中央电视台综合频道、军事农业频道节目，河北电视台新闻综合频道、农民频道节目，沧州市电视台新闻综合频道、公共频道节目，南皮县广播电视台电视节目
74,河北省,沧州市,青县,青县电视发射台,DS-24,0.3,中七等4套节目
75,河北省,沧州市,青县,青县电视发射台,DS-48,0.3,中一等8套节目
76,河北省,沧州市,任丘市,任丘调频广播发射台,DS-14,0.3,中七等4套节目
77,河北省,沧州市,任丘市,任丘调频广播发射台,DS-48,1,中一等8套节目
78,河北省,沧州市,肃宁县,肃宁县电视转播台,DS-27,0.3,中七等4套节目
79,河北省,沧州市,肃宁县,肃宁县电视转播台,DS-48,1,中一等8套节目
80,河北省,沧州市,吴桥县,河北省吴桥县广播电视台,DS-45,0.3,中七等4套节目
81,河北省,沧州市,吴桥县,河北省吴桥县广播电视台,DS-48,1,中一等8套节目
82,河北省,沧州市,献县,献县电视发射台,DS-17,1,中七等4套节目
83,河北省,沧州市,献县,献县电视发射台,DS-48,1,中一等8套节目
84,河北省,沧州市,沧州市,沧州调频广播发射台,DS-30,1,中七等4套节目
85,河北省,沧州市,沧州市,沧州调频广播发射台,DS-48,1,中一等8套节目
86,河北省,承德市,承德县,承德县电视转播台,DS-40,1,中一等8套节目
87,河北省,承德市,承德县,承德县电视转播台,DS-35,1,中七等4套节目
88,河北省,承德市,丰宁满族自治县,丰宁桃山电视转播台,DS-40,1,中一等8套节目
89,河北省,承德市,丰宁满族自治县,丰宁桃山电视转播台,DS-17,1,中七等4套节目
90,河北省,承德市,宽城满族自治县,宽城满族自治县电视转播台,DS-40,1,中一等8套节目
91,河北省,承德市,宽城满族自治县,宽城满族自治县电视转播台,DS-33,1,中七等4套节目
92,河北省,承德市,隆化县,隆化县电视转播台,DS-40,1,中一等8套节目
93,河北省,承德市,隆化县,隆化县电视转播台,DS-43,1,中七等4套节目
94,河北省,承德市,滦平县,滦平县电视转播台,DS-40,1,中一等8套节目
95,河北省,承德市,滦平县,滦平县电视转播台,DS-46,0.3,中七等4套节目
96,河北省,承德市,平泉县,平泉县广播电视发射台,DS-40,1,中一等8套节目
97,河北省,承德市,平泉县,平泉县广播电视发射台,DS-28,1,中七等4套节目
98,河北省,承德市,双桥区,承德电视发射台,DS-37,1,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目
99,河北省,承德市,双桥区,承德电视发射台,DS-48,1,承德市电视台综合频道、公共频道节目
100,河北省,承德市,兴隆县,兴隆县电视转播台,DS-40,1,中一等8套节目
101,河北省,承德市,兴隆县,兴隆县电视转播台,DS-16,1,中七等4套节目
102,河北省,承德市,承德市,承德电视转播台,DS-40,1,中一等8套节目
103,河北省,承德市,承德市,承德电视转播台,DS-38,1,中七等4套节目
104,河北省,邯郸市,成安县,成安电视转播台,DS-30,0.1,中央电视台综合频道、军事农业频道节目，河北电视台新闻综合频道、农民频道节目，邯郸市电视台新闻综合频道、公共频道节目，成安县广播电视台电视节目
105,河北省,邯郸市,成安县,成安电视转播台,DS-35,1,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邯郸市电视台新闻综合频道、科技教育频道、公共频道
106,河北省,邯郸市,磁县,磁县电视发射台,DS-28,1,中一等8套节目
107,河北省,邯郸市,磁县,磁县电视发射台,DS-14,0.3,中七等4套节目
108,河北省,邯郸市,磁县,磁县电视发射台,DS-35,0.3,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邯郸市电视台新闻综合频道、科技教育频道、公共频道
109,河北省,邯郸市,大名县,大名县广播电视差转台,DS-28,0.3,中一等8套节目
110,河北省,邯郸市,大名县,大名县广播电视差转台,DS-45,0.3,中七等4套节目
111,河北省,邯郸市,大名县,大名电视转播台,DS-35,0.3,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邯郸市电视台新闻综合频道、科技教育频道、公共频道
112,河北省,邯郸市,肥乡县,肥乡电视发射台,DS-18,1,中七等4套节目
113,河北省,邯郸市,肥乡县,肥乡电视发射台,DS-28,1,中一等8套节目
114,河北省,邯郸市,峰峰矿区,河北省邯郸市峰峰矿区广播电视台,DS-28,1,中一等8套节目
115,河北省,邯郸市,峰峰矿区,河北省邯郸市峰峰矿区广播电视台,DS-45,0.3,中七等4套节目
116,河北省,邯郸市,馆陶县,馆陶电视发射台,DS-28,0.3,中一等8套节目
117,河北省,邯郸市,馆陶县,馆陶电视发射台,DS-36,0.3,中七等4套节目
118,河北省,邯郸市,广平县,邯郸电视转播台,DS-28,0.3,中一等8套节目
119,河北省,邯郸市,广平县,邯郸电视转播台,DS-44,0.3,中七等4套节目
120,河北省,邯郸市,鸡泽县,鸡泽电视台,DS-28,0.3,中一等8套节目
121,河北省,邯郸市,鸡泽县,鸡泽电视台,DS-33,0.3,中七等4套节目
122,河北省,邯郸市,鸡泽县,鸡泽电视转播台,DS-35,0.3,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邯郸市电视台新闻综合频道、科技教育频道、公共频道
123,河北省,邯郸市,鸡泽县,鸡泽电视转播台,DS-22,0.1,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、农民频道节目，邯郸市电视台新闻综合频道节目，鸡泽县广播电视台电视节目
124,河北省,邯郸市,临漳县,临漳县电视台,DS-28,1,中一等8套节目
125,河北省,邯郸市,临漳县,临漳县电视台,DS-39,0.3,中七等4套节目
126,河北省,邯郸市,邱县,邱县电视转播台,DS-28,1,中一等8套节目
127,河北省,邯郸市,邱县,邱县电视转播台,DS-39,0.3,中七等4套节目
128,河北省,邯郸市,曲周县,曲周电视发射台,DS-16,0.1,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邯郸市电视台新闻综合频道节目，曲周县广播电视台电视节目
129,河北省,邯郸市,涉县,河北省涉县电视转播台,DS-28,1,中一等8套节目
130,河北省,邯郸市,涉县,河北省涉县电视转播台,DS-36,1,中七等4套节目
131,河北省,邯郸市,涉县,涉县电视转播台,DS-35,0.3,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邯郸市电视台新闻综合频道、科技教育频道、公共频道
132,河北省,邯郸市,武安市,武安市广播电视台,DS-28,1,中一等8套节目
133,河北省,邯郸市,武安市,武安市广播电视台,DS-30,0.3,中七等4套节目
134,河北省,邯郸市,武安市,武安广播电视发射台,DS-35,1,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邯郸市电视台新闻综合频道、科技教育频道、公共频道
135,河北省,邯郸市,永年区,永年电视发射台,DS-35,0.3,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邯郸市电视台新闻综合频道、科技教育频道、公共频道
136,河北省,邯郸市,永年县,永年电视发射台,DS-19,1,中七等4套节目
137,河北省,邯郸市,永年县,永年电视发射台,DS-28,1,中一等8套节目
138,河北省,邯郸市,邯郸市,邯郸电视台,DS-28,1,中一等8套节目
139,河北省,邯郸市,邯郸市,邯郸电视台,DS-11,0.3,中七等4套节目
140,河北省,衡水市,安平县,安平电视发射台,DS-35,0.3,中七等4套节目
141,河北省,衡水市,安平县,安平电视发射台,DS-48,0.3,中一等8套节目
142,河北省,衡水市,阜城县,阜城电视转播台,DS-25,0.3,中七等4套节目
143,河北省,衡水市,阜城县,阜城电视转播台,DS-48,1,中一等8套节目
144,河北省,衡水市,故城县,故城电视转播台,DS-30,0.3,中七等4套节目
145,河北省,衡水市,故城县,故城电视转播台,DS-48,0.3,中一等8套节目
146,河北省,衡水市,冀州市,冀州电视发射台,DS-45,0.3,中七等4套节目
147,河北省,衡水市,冀州市,冀州电视发射台,DS-48,1,中一等8套节目
148,河北省,衡水市,景县,景县电视转播台,DS-48,1,中一等8套节目
149,河北省,衡水市,景县,景县电视转播台,DS-19,0.3,中七等4套节目
150,河北省,衡水市,饶阳县,饶阳电视转播台,DS-34,0.3,中七等4套节目
151,河北省,衡水市,饶阳县,饶阳电视转播台,DS-48,1,中一等8套节目
152,河北省,衡水市,深州市,深州电视发射台,DS-41,1,中七等4套节目
153,河北省,衡水市,深州市,深州电视发射台,DS-48,1,中一等8套节目
154,河北省,衡水市,桃城区,衡水电视发射台,DS-33,1,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，衡水市电视台公共频道节目
155,河北省,衡水市,武强县,武强电视转播台,DS-21,0.3,中七等4套节目
156,河北省,衡水市,武强县,武强电视转播台,DS-48,1,中一等8套节目
157,河北省,衡水市,武邑县,武邑电视转播台,DS-40,0.1,中央电视台综合频道、军事农业频道节目，河北电视台新闻综合频道、农民频道节目，衡水市电视台新闻综合频道、公共频道节目，武邑县广播电视台电视节目
158,河北省,衡水市,枣强县,枣强电视发射台,DS-48,1,中一等8套节目
159,河北省,衡水市,枣强县,枣强电视发射台,DS-14,1,中七等4套节目
160,河北省,衡水市,衡水市,衡水调频广播发射台,DS-39,1,中七等4套节目
161,河北省,衡水市,衡水市,衡水调频广播发射台,DS-48,1,中一等8套节目
162,河北省,廊坊市,霸州市,霸州电视发射台,DS-28,0.3,中七等4套节目
163,河北省,廊坊市,霸州市,霸州电视发射台,DS-42,0.3,中一等8套节目
164,河北省,廊坊市,大厂回族自治县,大厂回族自治县转播台,DS-42,1,中一等8套节目
165,河北省,廊坊市,大厂回族自治县,大厂回族自治县转播台,DS-9,1,中七等4套节目
166,河北省,廊坊市,大城县,大城电视转播台,DS-22,0.3,中七等4套节目
167,河北省,廊坊市,大城县,大城电视转播台,DS-42,0.3,中一等8套节目
168,河北省,廊坊市,固安县,固安县广播电视发射台,DS-30,0.3,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、农民频道节目，廊坊市广播电视台新闻综合频道节目，固安县广播电视台电视节目
169,河北省,廊坊市,三河市,三河电视发射台,DS-19,0.3,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、农民频道节目，廊坊市广播电视台新闻综合频道节目，三河市广播电视台电视节目
170,河北省,廊坊市,文安县,文安电视转播台,DS-44,1,中七等4套节目
171,河北省,廊坊市,文安县,文安电视转播台,DS-42,1,中一等8套节目
172,河北省,廊坊市,香河县,香河电视发射台,DS-30,0.1,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，廊坊市电视台新闻综合频道节目，香河县广播电视台电视节目
173,河北省,廊坊市,永清县,永清电视转播台,DS-40,0.3,中七等4套节目
174,河北省,廊坊市,永清县,永清电视转播台,DS-42,0.3,中一等8套节目
175,河北省,廊坊市,廊坊市,廊坊电视发射台,DS-16,1,中七等4套节目
176,河北省,廊坊市,廊坊市,廊坊电视发射台,DS-42,1,中一等8套节目
177,河北省,秦皇岛市,海港区,秦皇岛电视发射台,DS-23,1,秦皇岛市电视台新闻综合频道、公共频道、影视频道节目
178,河北省,秦皇岛市,海港区,秦皇岛电视发射台,DS-37,1,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目
179,河北省,秦皇岛市,卢龙县,卢龙县电视转播台,DS-39,1,中一等8套节目
180,河北省,秦皇岛市,卢龙县,卢龙县电视转播台,DS-47,0.3,中七等4套节目
181,河北省,秦皇岛市,青龙满族自治县,青龙电视转播台,DS-16,0.3,中七等4套节目
182,河北省,秦皇岛市,青龙满族自治县,青龙电视转播台,DS-39,1,中一等8套节目
183,河北省,秦皇岛市,秦皇岛市,秦皇岛电视转播台,DS-45,1,中七等4套节目
184,河北省,秦皇岛市,秦皇岛市,秦皇岛电视转播台,DS-39,1,中一等8套节目
185,河北省,石家庄市,藁城区,藁城市电视发射台,DS-37,1,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目
186,河北省,石家庄市,藁城区,藁城市电视发射台,DS-26,0.1,中央电视台综合频道、军事农业频道节目，河北电视台新闻综合频道节目，石家庄市广播电视台新闻综合频道节目，藁城市广播电视台电视节目
187,河北省,石家庄市,晋州市,晋州市电视发射台,DS-20,1,中一等8套节目
188,河北省,石家庄市,晋州市,晋州市电视发射台,DS-18,0.3,中七等4套节目
189,河北省,石家庄市,井陉县,井陉县电视转播台,DS-20,1,中一等8套节目
190,河北省,石家庄市,井陉县,井陉县电视转播台,DS-27,0.3,中七等4套节目
191,河北省,石家庄市,灵寿县,灵寿县电视转播台,DS-20,1,中一等8套节目
192,河北省,石家庄市,灵寿县,灵寿县电视转播台,DS-18,0.3,中七等4套节目
193,河北省,石家庄市,灵寿县,灵寿调频广播发射台,DS-37,1,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目
194,河北省,石家庄市,鹿泉区,鹿泉市广播电视台,DS-23,0.05,河北电视台经济生活频道，影视剧频道，农民频道节目，石家庄市电视台新闻综合频道节目，鹿泉市广播电视台电视节目
195,河北省,石家庄市,鹿泉区,鹿泉市电视发射台,DS-37,1,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目
196,河北省,石家庄市,鹿泉区,鹿泉市电视发射台,DS-39,0.1,中央电视台综合频道、军事农业频道节目，河北电视台新闻综合频道节目，石家庄市广播电视台新闻综合频道节目，鹿泉市广播电视台电视节目
197,河北省,石家庄市,鹿泉区,河北省广播电视局307发射台,DS-25,1,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目
198,河北省,石家庄市,平山县,平山县电视转播台,DS-20,1,中一等8套节目
199,河北省,石家庄市,平山县,平山县电视转播台,DS-34,0.3,中七等4套节目
200,河北省,石家庄市,深泽县,深泽县电视发射台,DS-20,1,中一等8套节目
201,河北省,石家庄市,深泽县,深泽县电视发射台,DS-22,0.3,中七等4套节目
202,河北省,石家庄市,无极县,无极县电视发射台,DS-20,1,中一等8套节目
203,河北省,石家庄市,无极县,无极县电视发射台,DS-38,0.3,中七等4套节目
204,河北省,石家庄市,辛集市,辛集市电视转播台,DS-20,1,中一等8套节目
205,河北省,石家庄市,辛集市,辛集市电视转播台,DS-47,0.3,中七等4套节目
206,河北省,石家庄市,新乐市,新乐市电视发射台,DS-20,1,中一等8套节目
207,河北省,石家庄市,新乐市,新乐市电视发射台,DS-17,1,中七等4套节目
208,河北省,石家庄市,裕华区,石家庄电视发射台,DS-37,1,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目
209,河北省,石家庄市,元氏县,元氏县电视发射台,DS-20,0.3,中一等8套节目
210,河北省,石家庄市,元氏县,元氏县电视发射台,DS-18,0.3,中七等4套节目
211,河北省,石家庄市,赞皇县,赞皇县电视转播台,DS-20,1,中一等8套节目
212,河北省,石家庄市,赞皇县,赞皇县电视转播台,DS-22,0.3,中七等4套节目
213,河北省,石家庄市,赞皇县,赞皇县电视转播台,DS-37,1,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目
214,河北省,石家庄市,赵县,赵县电视发射台,DS-20,0.3,中一等8套节目
215,河北省,石家庄市,赵县,赵县电视发射台,DS-36,0.3,中七等4套节目
216,河北省,石家庄市,赵县,赵县电视发射台,DS-37,1,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目
217,河北省,石家庄市,赵县,赵县电视发射台,DS-36,0.1,中央电视台综合频道、军事农业频道节目，河北电视台新闻综合频道节目，石家庄市广播电视台新闻综合频道节目，赵县广播电视台电视节目
218,河北省,石家庄市,正定县,正定县电视发射台,DS-20,1,中一等8套节目
219,河北省,石家庄市,正定县,正定县电视发射台,DS-22,0.3,中七等4套节目
220,河北省,石家庄市,正定县,正定县电视发射台,DS-37,1,河北电视台经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目
221,河北省,石家庄市,石家庄市,石家庄电视发射台,DS-20,1,中一等8套节目
222,河北省,石家庄市,石家庄市,石家庄电视发射台,DS-46,1,中七等4套节目
223,河北省,唐山市,路北区,唐山电视发射台,DS-40,1,中央电视台综合频道、财经频道、军事农业频道节目，新闻频道节目，唐山市电视台新闻综合频道、生活服务频道、影视频道、公共频道节目
224,河北省,唐山市,路北区,唐山电视发射台,DS-45,1,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目
225,河北省,唐山市,滦南县,滦南县电视转播台,DS-42,1,中一等8套节目
226,河北省,唐山市,滦南县,滦南县电视转播台,DS-28,1,中七等4套节目
227,河北省,唐山市,滦县,滦县电视转播台,DS-42,1,中一等8套节目
228,河北省,唐山市,滦县,滦县电视转播台,DS-23,0.3,中七等4套节目
229,河北省,唐山市,迁安市,迁安电视台,DS-42,1,中一等8套节目
230,河北省,唐山市,迁安市,迁安电视台,DS-29,0.3,中七等4套节目
231,河北省,唐山市,迁西县,迁西县电视转播台,DS-42,0.3,中一等8套节目
232,河北省,唐山市,迁西县,迁西县电视转播台,DS-28,0.3,中七等4套节目
233,河北省,唐山市,唐海县,唐海县电视发射台,DS-42,1,中一等8套节目
234,河北省,唐山市,唐海县,唐海县电视发射台,DS-21,0.3,中七等4套节目
235,河北省,唐山市,玉田县,玉田电视发射台,DS-42,1,中一等8套节目
236,河北省,唐山市,玉田县,玉田电视发射台,DS-19,0.3,中七等4套节目
237,河北省,唐山市,遵化市,遵化电视台,DS-42,0.3,中一等8套节目
238,河北省,唐山市,遵化市,遵化电视台,DS-14,0.3,中七等4套节目
239,河北省,唐山市,唐山市,唐山电视发射台,DS-42,1,中一等8套节目
240,河北省,唐山市,唐山市,唐山电视发射台,DS-40,1,中七等4套节目
241,河北省,邢台市,柏乡县,柏乡县电视转播台,DS-17,0.3,中一等8套节目
242,河北省,邢台市,柏乡县,柏乡县电视转播台,DS-26,0.3,中七等4套节目
243,河北省,邢台市,广宗县,广宗电视转播台,DS-17,1,中一等8套节目
244,河北省,邢台市,广宗县,广宗电视转播台,DS-36,0.3,中七等4套节目
245,河北省,邢台市,巨鹿县,巨鹿电视差转台,DS-17,0.3,中一等8套节目
246,河北省,邢台市,巨鹿县,巨鹿电视差转台,DS-32,0.3,中七等4套节目
247,河北省,邢台市,临城县,临城电视转播台,DS-17,0.3,中一等8套节目
248,河北省,邢台市,临城县,临城电视转播台,DS-28,0.3,中七等4套节目
249,河北省,邢台市,临西县,临西县电视转播台,DS-13,0.1,河北广播电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邢台市电视台综合频道节目，临西县广播电视台电视节目
250,河北省,邢台市,隆尧县,隆尧电视发射台,DS-13,0.3,河北广播电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邢台市电视台综合频道节目，隆尧县广播电视台电视节目
251,河北省,邢台市,内丘县,内丘电视转播台,DS-17,0.3,中一等8套节目
252,河北省,邢台市,内丘县,内丘电视转播台,DS-40,0.3,中七等4套节目
253,河北省,邢台市,南宫市,南宫电视转播台,DS-17,1,中一等8套节目
254,河北省,邢台市,南宫市,南宫电视转播台,DS-16,0.3,中七等4套节目
255,河北省,邢台市,南和县,南和电视转播台,DS-17,1,中一等8套节目
256,河北省,邢台市,南和县,南和电视转播台,DS-42,0.3,中七等4套节目
257,河北省,邢台市,平乡县,平乡电视转播台,DS-17,0.3,中一等8套节目
258,河北省,邢台市,平乡县,平乡电视转播台,DS-25,0.3,中七等4套节目
259,河北省,邢台市,桥西区,邢台电视发射台,DS-23,1,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邢台市电视台公共频道节目
260,河北省,邢台市,清河县,清河电视发射台,DS-17,0.3,中一等8套节目
261,河北省,邢台市,清河县,清河电视发射台,DS-31,0.3,中七等4套节目
262,河北省,邢台市,任县,任县电视转播台,DS-46,0.1,中央电视台综合频道、军事农业频道节目，河北电视台新闻综合频道、农民频道节目，邢台市电视台综合频道、公共频道节目，任县广播电视台电视节目
263,河北省,邢台市,沙河市,沙河电视发射台,DS-17,1,中一等8套节目
264,河北省,邢台市,沙河市,沙河电视发射台,DS-34,0.3,中七等4套节目
265,河北省,邢台市,威县,威县电视转播台,DS-17,1,中一等8套节目
266,河北省,邢台市,威县,威县电视转播台,DS-21,1,中七等4套节目
267,河北省,邢台市,新河县,新河电视转播台,DS-17,1,中一等8套节目
268,河北省,邢台市,新河县,新河电视转播台,DS-21,0.3,中七等4套节目
269,河北省,邢台市,邢台县,邢台县电视发射台,DS-36,0.05,河北电视台经济生活频道、影视剧频道、农民频道节目，邢台市电视台综合频道节目，邢台县广播电视台电视节目
270,河北省,邢台市,邢台县,邢台县电视发射台,DS-39,0.1,河北电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邢台市电视台综合频道节目，邢台县广播电视台电视节目
271,河北省,邢台市,邢台县,路罗村补充发射站,DS-26,0.1,河北广播电视台新闻综合频道、经济生活频道、都市频道、影视剧频道、少儿科技频道、公共频道、农民频道节目，邢台市电视台综合频道节目，邢台县广播电视台电视节目
